,country,last_update,lat,long_,confirmed,deaths,recovered,active,incident_rate,people_tested,people_hospitalized,mortality_rate,uid,iso3
0,Afghanistan,2020-08-21 12:27:41,33.93911,67.709953,37894.0,1385.0,28016.0,8493.0,97.34296151998873,,,3.6549321792368175,4,AFG
1,Albania,2020-08-21 12:27:41,41.1533,20.1683,7967.0,238.0,3986.0,3743.0,276.8434220585169,,,2.9873227061629217,8,ALB
2,Algeria,2020-08-21 12:27:41,28.0339,1.6596,40258.0,1411.0,28281.0,10566.0,91.80625418647396,,,3.504893437329226,12,DZA
3,Andorra,2020-08-21 12:27:41,42.5063,1.5218,1024.0,53.0,875.0,96.0,1325.3090014883842,,,5.17578125,20,AND
4,Angola,2020-08-21 12:27:41,-11.2027,17.8739,2044.0,93.0,742.0,1209.0,6.219142374181334,,,4.549902152641879,24,AGO
5,Antigua and Barbuda,2020-08-21 12:27:41,17.0608,-61.7964,94.0,3.0,89.0,2.0,95.98888979658524,,,3.191489361702128,28,ATG
6,Argentina,2020-08-21 12:27:41,-38.4161,-63.6167,320884.0,6517.0,233651.0,80716.0,709.9866874730353,,,2.030951995113499,32,ARG
7,Armenia,2020-08-21 12:27:41,40.0691,45.0382,42477.0,842.0,35693.0,5942.0,1433.467623549136,,,1.9822492172234385,51,ARM
8,Australia,2020-08-21 12:27:41,-25.0,133.0,24407.0,472.0,18458.0,5477.0,95.86523014803787,,,1.9338714303273647,36,AUS
9,Austria,2020-08-21 12:27:41,47.5162,14.5501,24762.0,730.0,21260.0,2772.0,274.93782199324926,,,2.9480655843631367,40,AUT
10,Azerbaijan,2020-08-21 12:27:41,40.1431,47.5769,34759.0,510.0,32511.0,1738.0,342.81881908537923,,,1.4672458931499754,31,AZE
11,Bahamas,2020-08-21 12:27:41,25.025885,-78.035889,1610.0,23.0,211.0,1376.0,409.4108552363903,,,1.4285714285714286,44,BHS
12,Bahrain,2020-08-21 12:27:41,26.0275,50.55,48303.0,179.0,44628.0,3496.0,2838.7096015886377,,,0.370577396849057,48,BHR
13,Bangladesh,2020-08-21 12:27:41,23.685,90.3563,290360.0,3861.0,172615.0,113884.0,176.30766155702946,,,1.329728612756578,50,BGD
14,Barbados,2020-08-21 12:27:41,13.1939,-59.5432,156.0,7.0,123.0,26.0,54.28522711059919,,,4.487179487179487,52,BRB
15,Belarus,2020-08-21 12:27:41,53.7098,27.9534,70111.0,632.0,68256.0,1223.0,741.9686557372746,,,0.9014277360185992,112,BLR
16,Belgium,2020-08-21 12:27:41,50.8333,4.469936,80178.0,9976.0,18131.0,52071.0,691.8089434542095,,,12.442315847239893,56,BEL
17,Belize,2020-08-21 12:27:41,17.1899,-88.4976,605.0,5.0,38.0,562.0,152.15494151465842,,,0.8264462809917356,84,BLZ
18,Benin,2020-08-21 12:27:41,9.3077,2.3158,2095.0,39.0,1705.0,351.0,17.28091878067157,,,1.8615751789976132,204,BEN
19,Bhutan,2020-08-21 12:27:41,27.5142,90.4336,153.0,0.0,108.0,45.0,19.828618528483226,,,0.0,64,BTN
20,Bolivia,2020-08-21 12:27:41,-16.2902,-63.5887,106065.0,4305.0,41111.0,60649.0,908.6330548823274,,,4.058831848394853,68,BOL
21,Bosnia and Herzegovina,2020-08-21 12:27:41,43.9159,17.6791,17396.0,526.0,11157.0,5713.0,530.2341034163767,,,3.023683605426535,70,BIH
22,Botswana,2020-08-21 12:27:41,-22.3285,24.6849,1308.0,3.0,136.0,1169.0,55.621113060118006,,,0.22935779816513766,72,BWA
23,Brazil,2020-08-21 12:27:41,-14.235,-51.9253,3501975.0,112304.0,2844318.0,545353.0,1647.527633086334,,,3.2068761199037685,76,BRA
24,Brunei,2020-08-21 12:27:41,4.5353,114.7277,143.0,3.0,139.0,1.0,32.68698440853701,,,2.097902097902098,96,BRN
25,Bulgaria,2020-08-21 12:27:41,42.7339,25.4858,14962.0,532.0,10087.0,4343.0,215.32875341173457,,,3.555674375083545,100,BGR
26,Burkina Faso,2020-08-21 12:27:41,12.2383,-1.5616,1297.0,55.0,1034.0,208.0,6.20476845784666,,,4.240555127216654,854,BFA
27,Burma,2020-08-21 12:27:41,21.9162,95.956,409.0,6.0,333.0,70.0,0.7517029011357771,,,1.4669926650366751,104,MMR
28,Burundi,2020-08-21 12:27:41,-3.3731,29.9189,422.0,1.0,336.0,85.0,3.5489678936984883,,,0.23696682464454974,108,BDI
29,Cabo Verde,2020-08-21 12:27:41,16.5388,-23.0418,3368.0,37.0,2462.0,869.0,605.7684698230897,,,1.0985748218527316,132,CPV
30,Cambodia,2020-08-21 12:27:41,11.55,104.9167,273.0,0.0,253.0,20.0,1.6328756117825671,,,0.0,116,KHM
31,Cameroon,2020-08-21 12:27:41,3.848,11.5021,18762.0,408.0,16540.0,1814.0,70.67767694432548,,,2.1746082507195394,120,CMR
32,Canada,2020-08-21 12:27:41,60.00100000000001,-95.001,125625.0,9097.0,111811.0,4717.0,331.8522530634883,,,7.241393034825871,124,CAN
33,Central African Republic,2020-08-21 12:27:41,6.6111,20.9394,4679.0,61.0,1755.0,2863.0,96.87843960905752,,,1.3036973712331694,140,CAF
34,Chad,2020-08-21 12:27:41,15.4542,18.7322,972.0,76.0,869.0,27.0,5.917498743901309,,,7.818930041152264,148,TCD
35,Chile,2020-08-21 12:27:41,-35.6751,-71.543,391849.0,10671.0,366063.0,15115.0,2049.825883364217,,,2.723242881824376,152,CHL
36,China,2020-08-21 12:27:41,30.5928,114.3055,89594.0,4709.0,83663.0,1222.0,6.378266514962918,,,5.255932316896222,156,CHN
37,Colombia,2020-08-21 12:27:41,4.5709,-74.2973,513719.0,16183.0,339124.0,158412.0,1009.6106187691721,,,3.1501657520940443,170,COL
38,Comoros,2020-08-21 12:27:41,-11.6455,43.3333,417.0,7.0,396.0,14.0,47.95335759750228,,,1.6786570743405276,174,COM
39,Congo (Brazzaville),2020-08-21 12:27:41,-0.228,15.8277,3850.0,77.0,1625.0,2148.0,69.77049313422103,,,2.0,178,COG
40,Congo (Kinshasa),2020-08-21 12:27:41,-4.0383,21.7587,9802.0,248.0,8920.0,634.0,10.944446560931537,,,2.530095898796164,180,COD
41,Costa Rica,2020-08-21 12:27:41,9.7489,-83.7534,31075.0,333.0,9939.0,20803.0,610.0177577494339,,,1.071600965406275,188,CRI
42,Cote d'Ivoire,2020-08-21 12:27:41,7.54,-5.5471,17249.0,112.0,14611.0,2526.0,65.39093250032461,,,0.6493130036523856,384,CIV
43,Croatia,2020-08-21 12:27:41,45.1,15.2,7594.0,169.0,5584.0,1841.0,184.98183309835068,,,2.2254411377403214,191,HRV
44,Cuba,2020-08-21 12:27:41,21.521757,-77.78116700000002,3565.0,88.0,2894.0,583.0,31.47453749645967,,,2.4684431977559607,192,CUB
45,Cyprus,2020-08-21 12:27:41,35.1264,33.4299,1395.0,20.0,878.0,497.0,115.541250711262,,,1.4336917562724014,196,CYP
46,Czechia,2020-08-21 12:27:41,49.8175,15.473,21045.0,406.0,15886.0,4753.0,196.5172786731736,,,1.92919933475885,203,CZE
47,Denmark,2020-08-21 12:27:41,56.2639,9.5018,16524.0,621.0,14232.0,1671.0,285.2800566554729,,,3.7581699346405233,208,DNK
48,Diamond Princess,2020-08-21 12:27:41,,,712.0,13.0,651.0,48.0,,,,1.8258426966292132,9999,
49,Djibouti,2020-08-21 12:27:41,11.8251,42.5903,5374.0,59.0,5216.0,99.0,543.9260244412461,,,1.0978786751023446,262,DJI
50,Dominica,2020-08-21 12:27:41,15.415,-61.371,18.0,0.0,18.0,0.0,25.003125390673837,,,0.0,212,DMA
51,Dominican Republic,2020-08-21 12:27:41,18.7357,-70.1627,89010.0,1505.0,57734.0,29771.0,820.527172806839,,,1.6908212560386473,214,DOM
52,Ecuador,2020-08-21 12:27:41,-1.8312,-78.1834,105508.0,6200.0,87660.0,11648.0,598.0141766791022,,,5.876331652576108,218,ECU
53,Egypt,2020-08-21 12:27:41,26.820553000000004,30.802498,97025.0,5212.0,63462.0,28351.0,94.81171253815786,,,5.371811388817315,818,EGY
54,El Salvador,2020-08-21 12:27:41,13.7942,-88.8965,24200.0,646.0,11781.0,11773.0,373.09975438627333,,,2.669421487603306,222,SLV
55,Equatorial Guinea,2020-08-21 12:27:41,1.6508,10.2679,4892.0,83.0,2713.0,2096.0,348.6851249300598,,,1.6966475878986103,226,GNQ
56,Eritrea,2020-08-21 12:27:41,15.1794,39.7823,306.0,0.0,274.0,32.0,8.628402614800756,,,0.0,232,ERI
57,Estonia,2020-08-21 12:27:41,58.5953,25.0136,2244.0,63.0,2011.0,170.0,169.16200729869232,,,2.807486631016043,233,EST
58,Eswatini,2020-08-21 12:27:41,-26.5225,31.4659,4110.0,81.0,2643.0,1386.0,354.2602597563793,,,1.9708029197080288,748,SWZ
59,Ethiopia,2020-08-21 12:27:41,9.145,40.4897,35836.0,620.0,13536.0,21680.0,31.171610230693666,,,1.7301038062283738,231,ETH
60,Fiji,2020-08-21 12:27:41,-17.7134,178.065,28.0,1.0,20.0,7.0,3.1234522178741786,,,3.571428571428572,242,FJI
61,Finland,2020-08-21 12:27:41,61.9241,25.7482,7871.0,334.0,7100.0,437.0,142.05740122489541,,,4.243425231863804,246,FIN
62,France,2020-08-21 12:27:41,46.2276,2.2137,256534.0,30434.0,84214.0,141886.0,393.0139380274192,,,11.863534658173965,250,FRA
63,Gabon,2020-08-21 12:27:41,-0.8037,11.6094,8319.0,53.0,6614.0,1652.0,373.7653477873307,,,0.6370958047842289,266,GAB
64,Gambia,2020-08-21 12:27:41,13.4432,-15.3101,2401.0,81.0,435.0,1885.0,99.35183376754073,,,3.373594335693461,270,GMB
65,Georgia,2020-08-21 12:27:41,42.3154,43.3569,1385.0,17.0,1128.0,240.0,34.71895818057619,,,1.2274368231046928,268,GEO
66,Germany,2020-08-21 12:27:41,51.165691,10.451526,231929.0,9266.0,206602.0,16061.0,276.817951219652,,,3.9951881825903617,276,DEU
67,Ghana,2020-08-21 12:27:41,7.9465,-1.0232,43260.0,261.0,41276.0,1723.0,139.22079159217122,,,0.6033287101248266,288,GHA
68,Greece,2020-08-21 12:27:41,39.0742,21.8243,7934.0,235.0,1347.0,6352.0,76.11970999676103,,,2.9619359717670783,300,GRC
69,Grenada,2020-08-21 12:27:41,12.1165,-61.679,24.0,0.0,24.0,0.0,21.329730978768033,,,0.0,308,GRD
70,Guatemala,2020-08-21 12:27:41,15.7835,-90.2308,65983.0,2506.0,54351.0,9126.0,368.2998143458145,,,3.797947956291772,320,GTM
71,Guinea,2020-08-21 12:27:41,9.9456,-9.6966,8876.0,53.0,7628.0,1195.0,67.58654214579809,,,0.5971158179360072,324,GIN
72,Guinea-Bissau,2020-08-21 12:27:41,11.8037,-15.1804,2149.0,33.0,1015.0,1101.0,109.19726544437543,,,1.5355979525360632,624,GNB
73,Guyana,2020-08-21 12:27:41,4.860416000000002,-58.93018000000001,846.0,29.0,399.0,418.0,107.55709361916908,,,3.4278959810874703,328,GUY
74,Haiti,2020-08-21 12:27:41,18.9712,-72.2852,7997.0,196.0,5447.0,2354.0,70.13353962667769,,,2.450919094660497,332,HTI
75,Holy See,2020-08-21 12:27:41,41.9029,12.4534,12.0,0.0,12.0,0.0,1483.3127317676144,,,0.0,336,VAT
76,Honduras,2020-08-21 12:27:41,15.2,-86.2419,52819.0,1619.0,8082.0,43118.0,533.277036304718,,,3.0651848766542344,340,HND
77,Hungary,2020-08-21 12:27:41,47.1625,19.5033,5098.0,611.0,3681.0,806.0,52.772415078128645,,,11.98509219301687,348,HUN
78,Iceland,2020-08-21 12:27:41,64.9631,-19.0208,2040.0,10.0,1913.0,117.0,597.8021978021977,,,0.4901960784313725,352,ISL
79,India,2020-08-21 12:27:41,20.593684,78.96288,2905825.0,54849.0,2158946.0,692030.0,210.56635990326942,,,1.8875534486763657,356,IND
80,Indonesia,2020-08-21 12:27:41,-0.7893,113.9213,149408.0,6500.0,102991.0,39917.0,54.62343597739955,,,4.350503319768687,360,IDN
81,Iran,2020-08-21 12:27:41,32.427908,53.68804599999999,354764.0,20376.0,305866.0,28522.0,422.37352936025485,,,5.743536548240519,364,IRN
82,Iraq,2020-08-21 12:27:41,33.223191,43.679291,192797.0,6208.0,137200.0,49389.0,479.3262119963048,,,3.2199671156708867,368,IRQ
83,Ireland,2020-08-21 12:27:41,53.1424,-7.6921,27676.0,1776.0,23364.0,2536.0,560.4929810790077,,,6.4171122994652405,372,IRL
84,Israel,2020-08-21 12:27:41,31.046051,34.851612,99599.0,795.0,74579.0,24225.0,1150.6964151634195,,,0.7982007851484453,376,ISR
85,Italy,2020-08-21 12:27:41,41.8719,12.5674,256118.0,35418.0,204686.0,16014.0,423.6028060547557,,,13.828782045775776,380,ITA
86,Jamaica,2020-08-21 12:27:41,18.1096,-77.2975,1290.0,15.0,788.0,487.0,43.56399398749342,,,1.162790697674419,388,JAM
87,Japan,2020-08-21 12:27:41,36.204824,138.252924,60896.0,1162.0,45110.0,14624.0,48.14809092772032,,,1.9081713084603256,392,JPN
88,Jordan,2020-08-21 12:27:41,31.24,36.51,1498.0,11.0,1261.0,226.0,14.681754832335928,,,0.7343124165554072,400,JOR
89,Kazakhstan,2020-08-21 12:27:41,48.0196,66.9237,104071.0,1415.0,87920.0,14736.0,554.2558660578769,,,1.3596487013673355,398,KAZ
90,Kenya,2020-08-21 12:27:41,-0.0236,37.9062,31441.0,516.0,17869.0,13056.0,58.471712605051394,,,1.6411691740084602,404,KEN
91,"Korea, South",2020-08-21 12:27:41,35.90775700000001,127.766922,16670.0,309.0,14120.0,2241.0,32.51465895214285,,,1.853629274145171,410,KOR
92,Kosovo,2020-08-21 12:27:41,42.602636,20.902977,11545.0,390.0,7343.0,3812.0,637.7163512792441,,,3.378085751407536,383,XKS
93,Kuwait,2020-08-21 12:27:41,29.31166,47.481766,79269.0,511.0,71264.0,7494.0,1856.1721253146247,,,0.644640401670262,414,KWT
94,Kyrgyzstan,2020-08-21 12:27:41,41.20438,74.766098,42703.0,1498.0,35831.0,5374.0,654.5332593726946,,,3.507950261105777,417,KGZ
95,Laos,2020-08-21 12:27:41,19.85627,102.495496,22.0,0.0,20.0,2.0,0.3023823883700435,,,0.0,418,LAO
96,Latvia,2020-08-21 12:27:41,56.8796,24.6032,1330.0,33.0,1093.0,204.0,70.51206604594842,,,2.481203007518797,428,LVA
97,Lebanon,2020-08-21 12:27:41,33.8547,35.8623,10952.0,113.0,3040.0,7799.0,160.45847287252604,,,1.0317750182615046,422,LBN
98,Lesotho,2020-08-21 12:27:41,-29.61,28.2336,996.0,30.0,423.0,543.0,46.49312965981594,,,3.0120481927710845,426,LSO
99,Liberia,2020-08-21 12:27:41,6.4280550000000005,-9.429499,1284.0,82.0,803.0,399.0,25.38714908049684,,,6.386292834890965,430,LBR
100,Libya,2020-08-21 12:27:41,26.3351,17.228331,9707.0,173.0,1047.0,8487.0,141.26902281916037,,,1.7822190172040795,434,LBY
101,Liechtenstein,2020-08-21 12:27:41,47.14,9.55,99.0,1.0,88.0,10.0,259.59042399769254,,,1.0101010101010102,438,LIE
102,Lithuania,2020-08-21 12:27:41,55.1694,23.8813,2564.0,83.0,1755.0,726.0,94.18537547969706,,,3.2371294851794072,440,LTU
103,Luxembourg,2020-08-21 12:27:41,49.8153,6.1296,7637.0,124.0,6903.0,610.0,1220.014824849515,,,1.6236742176247216,442,LUX
104,MS Zaandam,2020-08-21 12:27:41,,,9.0,2.0,,7.0,,,,22.222222222222218,8888,
105,Madagascar,2020-08-21 12:27:41,-18.766947,46.869107,14218.0,178.0,13206.0,834.0,51.34516718218278,,,1.251934167956112,450,MDG
106,Malawi,2020-08-21 12:27:41,-13.2543,34.3015,5282.0,165.0,2883.0,2234.0,27.611147020471297,,,3.1238167360848164,454,MWI
107,Malaysia,2020-08-21 12:27:41,4.210483999999999,101.975766,9249.0,125.0,8945.0,179.0,28.57628552037852,,,1.3514974591847768,458,MYS
108,Maldives,2020-08-21 12:27:41,3.2028,73.2207,6370.0,25.0,3915.0,2430.0,1178.4468181935906,,,0.3924646781789639,462,MDV
109,Mali,2020-08-21 12:27:41,17.570692,-3.996166000000001,2667.0,125.0,1993.0,549.0,13.169827968566628,,,4.6869141357330335,466,MLI
110,Malta,2020-08-21 12:27:41,35.9375,14.3754,1546.0,10.0,854.0,682.0,350.1389458235853,,,0.6468305304010349,470,MLT
111,Mauritania,2020-08-21 12:27:41,21.0079,-10.9408,6848.0,158.0,6123.0,567.0,147.27958603424767,,,2.307242990654206,478,MRT
112,Mauritius,2020-08-21 12:27:41,-20.348404,57.552152,346.0,10.0,334.0,2.0,27.206241394846696,,,2.8901734104046244,480,MUS
113,Mexico,2020-08-21 12:27:41,23.6345,-102.5528,543806.0,59106.0,442782.0,41918.0,425.5389875410789,,,10.868949588640067,484,MEX
114,Moldova,2020-08-21 12:27:41,47.4116,28.3699,31937.0,921.0,21885.0,9131.0,791.7028490345598,,,2.8838024861445968,498,MDA
115,Monaco,2020-08-21 12:27:41,43.7333,7.4167,150.0,4.0,115.0,31.0,382.2240342472735,,,2.6666666666666665,492,MCO
116,Mongolia,2020-08-21 12:27:41,46.8625,103.8467,298.0,0.0,283.0,15.0,9.09009935661619,,,0.0,496,MNG
117,Montenegro,2020-08-21 12:27:41,42.708678000000006,19.37439,4229.0,81.0,3186.0,962.0,673.3411669548548,,,1.9153464175928117,499,MNE
118,Morocco,2020-08-21 12:27:41,31.7917,-7.0926,47638.0,775.0,32806.0,14057.0,129.06334279747276,,,1.6268525126999454,504,MAR
119,Mozambique,2020-08-21 12:27:41,-18.665695,35.529562,3115.0,20.0,1380.0,1715.0,9.966266666901292,,,0.6420545746388443,508,MOZ
120,Namibia,2020-08-21 12:27:41,-22.9576,18.4904,4912.0,41.0,2442.0,2429.0,193.31611119769408,,,0.8346905537459284,516,NAM
